Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
45	1	-82.36095	-91.90969	9.548737	0.02151055	0.004347907	0.168529	0.003876194	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.0537491	0.01032677	0.168529	0.0215106	0.00434791	0.1943874	0.2765048
46	0	-81.40563	-91.10532	9.699693	0.01119988	0.006221832	0.1652827	0.006997432	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.0204988	0.005441678	0.165283	0.0111999	0.00622183	0.1827044	0.1121964
47	1	-80.52069	-90.63644	10.11575	0.009874097	0.005691016	0.1316717	0.00448076	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.00468819	0.006825276	0.131672	0.0098741	0.00569102	0.1472368	0.0318412
48	0	-88.29157	-97.50102	9.209459	0.01000316	0.0291222	0.1652827	0.02889348	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.0145462	0.007802407	0.165283	0.0100032	0.0291222	0.2044081	0.07116255
49	1	-81.26031	-91.36259	10.10228	0.01115089	0.008231841	0.1316717	0.004673555	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.0125295	0.003623254	0.131672	0.0111509	0.00823184	0.1510544	0.08294723
50	0	-82.10152	-91.74084	9.639313	0.009893464	0.006887864	0.1604189	0.005962468	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.0151436	0.01879573	0.160419	0.00989346	0.00688786	0.1772002	0.08546013
51	1	-83.65029	-93.59572	9.945437	0.02672854	0.01276561	0.120809	0.00615489	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.00592705	0.007272489	0.120809	0.0267285	0.0127656	0.1603032	0.03697397
52	0	-84.72467	-93.84762	9.122945	0.01366749	0.003298423	0.1989815	0.0172394	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.042252	0.01494012	0.198982	0.0136675	0.00329842	0.2159474	0.1956588
53	1	-83.68765	-93.35421	9.666558	0.01553829	0.01443498	0.1496455	0.003541897	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.0397937	0.01573179	0.149646	0.0155383	0.014435	0.1796188	0.2215451
54	0	-81.28803	-90.80189	9.51386	0.005890641	0.004055164	0.1794891	0.002351545	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.0518625	0.02099059	0.179489	0.00589064	0.00405516	0.1894349	0.2737748
55	1	-79.41971	-89.335	9.915286	0.01965111	0.0004587072	0.1496455	0.002109135	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.00466489	0.003547241	0.149646	0.0196511	0.000458707	0.1697554	0.02748009
56	0	-85.82563	-94.9469	9.121279	0.01752247	0.01361366	0.1946244	0.007509835	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.0365369	0.01363817	0.194624	0.0175225	0.0136137	0.2257606	0.1618392
57	1	-85.21144	-94.78376	9.572319	0.02322458	0.02654535	0.1474221	0.001116402	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.052064	0.007527916	0.147422	0.0232246	0.0265454	0.1971921	0.2640267
58	0	-83.62334	-93.48432	9.860983	0.02340312	0.007356695	0.127736	0.007377423	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.00230103	0.01655773	0.127736	0.0234031	0.0073567	0.1584958	0.01451793
59	1	-80.65573	-90.51057	9.854843	0.02907492	0.0008836193	0.1474221	0.0005048461	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.000269072	0.002494388	0.147422	0.0290749	0.000883619	0.1773807	0.001516918
60	0	-87.3883	-96.89996	9.511662	0.00714172	0.02978551	0.127736	0.01306887	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.00382117	0.0387606	0.127736	0.00714172	0.0297855	0.1646632	0.02320599
61	1	-80.72867	-90.3367	9.608033	0.01219234	0.006319174	0.1798494	0.002225231	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.0411488	0.001513884	0.179849	0.0121923	0.00631917	0.1983609	0.2074441
62	0	-81.05067	-91.04018	9.989511	0.01493371	8.078e-05	0.1357244	0.01052164	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.00327798	0.009412396	0.135724	0.0149337	8.078e-05	0.1507389	0.02174609
63	1	-81.05298	-90.9707	9.917721	0.007149219	0.008602892	0.1508969	0.004465531	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.0206417	0.004492034	0.150897	0.00714922	0.00860289	0.166649	0.1238635
