Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	total_speciation	turnover
36	0	-39.78238	-44.42794	4.645562	0.07533815	0.01699563	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.0016166	0.09072782	0.0753382	0.07533815	0.02145798
37	1	-39.94106	-44.73546	4.794406	0.06729045	0.01147547	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.000947784	0.1059523	0.0672904	0.06729045	0.01408497
38	0	-40.50516	-46.12918	5.624017	0.05806956	0.005860894	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.00804031	0.05677895	0.0580696	0.05806956	0.13846
39	1	-39.42795	-44.60892	5.180969	0.06729045	0.00833707	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.00499783	0.07043438	0.0672904	0.06729045	0.07427246
40	0	-39.94399	-45.10339	5.159397	0.06579236	0.01533054	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.00775423	0.07017534	0.0657924	0.06579236	0.1178591
41	1	-40.9732	-45.04066	4.067458	0.09334089	0.008799429	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.0203442	0.1017294	0.0933409	0.09334089	0.2179565
42	0	-41.60847	-46.04281	4.434341	0.06579236	0.1050621	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.00760814	0.05294942	0.0657924	0.06579236	0.1156387
43	1	-39.92162	-44.58839	4.666768	0.07935213	0.03451525	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.0117396	0.05882343	0.0793521	0.07935213	0.1479432
44	0	-44.40336	-46.8939	2.490534	0.09892709	0.1413042	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.0244371	0.1098491	0.0989271	0.09892709	0.2470213
45	1	-41.87835	-45.59739	3.719048	0.08416884	0.05077672	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.0115121	0.1226171	0.0841688	0.08416884	0.1367744
46	0	-43.53227	-46.56081	3.028539	0.1085331	0.1291338	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.0471135	0.03886911	0.108533	0.1085331	0.4340936
47	1	-40.48676	-46.06324	5.576483	0.05900432	0.03187632	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.00953111	0.03266089	0.0590043	0.05900432	0.1615324
48	0	-44.04292	-47.04901	3.006095	0.0965818	0.1841124	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.038131	0.02265059	0.0965818	0.0965818	0.3948057
49	1	-40.68003	-46.07658	5.396549	0.06256457	0.05695428	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.0136505	0.01469855	0.0625646	0.06256457	0.2181819
50	0	-44.71028	-47.57821	2.867927	0.09198423	0.2277076	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.0117656	0.006919419	0.0919842	0.09198423	0.1279091
