Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
46	0	-54.53958	-66.06833	11.52876	0.002934666	0.005687561	0.08132051	0.03655388	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.0211996	0.02292142	0.0813205	0.00293467	0.00568756	0.08994274	0.2357008
47	1	-58.12154	-68.85441	10.73287	0.04603732	0.01249078	0.05133368	0.06882464	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	4.86975e-05	0.0006633886	0.0513337	0.0460373	0.0124908	0.1098618	0.0004432616
48	0	-51.21685	-63.495	12.27815	0.001804858	0.00897077	0.06601353	0.008646428	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.00290916	0.02183404	0.0660135	0.00180486	0.00897077	0.07678916	0.03788505
49	1	-51.88801	-63.81022	11.92221	0.005263808	0.008267506	0.07241671	0.03333661	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.00425192	0.000747044	0.0724167	0.00526381	0.00826751	0.08594802	0.0494708
50	0	-51.12979	-63.06179	11.932	0.0006374314	0.02300289	0.06601353	0.00357687	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.000504122	0.01658316	0.0660135	0.000637431	0.0230029	0.08965385	0.005622979
51	1	-55.23506	-65.8825	10.64744	0.01515411	0.02220499	0.08627274	0.02797766	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.0182414	0.001954266	0.0862727	0.0151541	0.022205	0.1236318	0.1475459
52	0	-54.47322	-67.55805	13.08483	0.004893965	0.001323269	0.05401975	0.001452547	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.0244866	0.006176834	0.0540198	0.00489397	0.00132327	0.06023699	0.4065041
53	1	-51.87778	-64.02522	12.14744	0.008677799	0.01202334	0.06273105	0.01644255	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.0140812	0.003905331	0.0627311	0.0086778	0.0120233	0.08343219	0.1687744
54	0	-45.97852	-57.89848	11.91996	0.001961128	0.005657173	0.08677901	0.002247509	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.0182681	0.002548021	0.086779	0.00196113	0.00565717	0.09439731	0.1935232
55	1	-49.41011	-61.18823	11.77812	0.001572291	0.004731551	0.08654798	0.01697625	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.0136311	0.007401677	0.086548	0.00157229	0.00473155	0.09285182	0.1468053
