Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
37	1	-151.7363	-161.2051	9.4688	0.00449711	0.002878881	0.1331163	0.01684611	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.0802791	0.01905808	0.133116	0.00449711	0.00287888	0.1404923	0.571413
38	0	-147.5805	-160.4996	12.91914	0.005012147	0.001658908	0.0600713	0.0096647	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.00797285	0.0003844395	0.0600713	0.00501215	0.00165891	0.06674236	0.1194572
39	1	-153.8164	-161.8667	8.05035	0.04313962	0.0003064001	0.1331163	0.01265036	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.137731	0.008993112	0.133116	0.0431396	0.0003064	0.1765623	0.7800725
40	0	-149.7037	-162.4252	12.72156	0.00465461	0.02254714	0.04407055	0.009600245	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.00810429	0.0006013029	0.0440705	0.00465461	0.0225471	0.07127229	0.1137089
41	1	-153.3339	-162.1564	8.822468	0.0008403292	0.01695634	0.1331163	0.0465685	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.0984414	0.00886976	0.133116	0.000840329	0.0169563	0.150913	0.6523058
42	0	-147.66	-160.968	13.30803	0.0001605076	0.01134016	0.04407055	0.01936229	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.00143417	0.0001442499	0.0440705	0.000160508	0.0113402	0.05557122	0.02580785
43	1	-149.569	-159.019	9.450002	0.0003169323	0.007085286	0.1331163	0.02974077	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.0916611	0.007929685	0.133116	0.000316932	0.00708529	0.1405185	0.6523058
44	0	-148.3383	-161.3237	12.98544	0.0003009547	0.02020753	0.04407055	0.01264699	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0105874	0.0001340851	0.0440705	0.000300955	0.0202075	0.06457904	0.1639441
45	1	-150.7721	-160.9124	10.14023	0.005102426	0.001604503	0.1154184	0.02576827	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.0679496	0.02248281	0.115418	0.00510243	0.0016045	0.1221253	0.556393
46	0	-149.218	-161.8375	12.61951	0.007898235	0.01471794	0.0487999	0.01966702	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0186994	0.0001174648	0.0487999	0.00789823	0.0147179	0.07141608	0.2618375
47	1	-149.1268	-159.5906	10.46373	0.004074676	8.080012e-05	0.1159574	0.01316004	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.0823268	0.01145034	0.115957	0.00407468	8.08001e-05	0.1201129	0.6854116
48	0	-148.7072	-161.6128	12.90561	0.01167342	0.008932122	0.04620795	0.01095914	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.00782621	0.0001353365	0.0462079	0.0116734	0.00893212	0.06681349	0.1171352
49	1	-148.6123	-158.7087	10.09641	0.007618757	0.0003543354	0.1209111	0.01563084	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.0849643	0.007750594	0.120911	0.00761876	0.000354335	0.1288842	0.6592296
50	0	-152.3923	-164.8083	12.41601	0.01040627	0.0213278	0.04620795	0.01123885	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0410628	0.0006524923	0.0462079	0.0104063	0.0213278	0.07794201	0.5268384
