Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
34	0	-134.3249	-136.3777	2.05275	0.1000377	0.08110943	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.00878045	0.009011197	0.100038	0.1000377	0.08777138
35	1	-134.2898	-134.9806	0.6907875	0.1184281	0.04613424	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.0424764	0.07553322	0.118428	0.1184281	0.3586682
36	0	-134.3807	-134.4697	0.08900364	0.1279299	0.1065497	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.0539354	0.02122639	0.12793	0.1279299	0.421601
37	1	-134.4203	-134.6895	0.2692472	0.1283189	0.04618234	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	0.0613561	0.128319	0.1283189	0.5174609
38	0	-135.2012	-135.383	0.1818503	0.1279299	0.08866143	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.0408133	0.02983003	0.12793	0.1279299	0.3190287
39	1	-135.5275	-135.2426	-0.2848631	0.133988	0.03441101	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.0614857	0.09627883	0.133988	0.133988	0.4588895
40	0	-134.2177	-134.7396	0.521972	0.1279299	0.0584998	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.0665932	0.02597949	0.12793	0.1279299	0.5205445
41	1	-134.5724	-136.0244	1.452057	0.1151166	0.03721548	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.0376121	0.02716902	0.115117	0.1151166	0.3267309
42	0	-137.0418	-137.1911	0.1492479	0.1162417	0.1540288	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.0373117	0.03423434	0.116242	0.1162417	0.3209836
43	1	-133.7565	-135.2561	1.49966	0.105165	0.09121386	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.0398148	0.02503894	0.105165	0.105165	0.3785932
