Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
44	0	-98.66795	-103.207	4.539014	0.1868937	0.01413159	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.0543568	0.002805306	0.186894	0.1868937	0.2908434
45	1	-97.61941	-102.7232	5.103755	0.145628	0.01016386	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.0502503	0.005140242	0.145628	0.145628	0.3450593
46	0	-96.56844	-101.1804	4.611997	0.1868937	0.00611689	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.0827025	0.003521743	0.186894	0.1868937	0.4425111
47	1	-96.32796	-101.474	5.146058	0.145628	0.008093343	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.0156633	0.002980511	0.145628	0.145628	0.1075567
48	0	-99.3601	-103.8456	4.485464	0.1868937	0.01068738	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.0845052	0.01160453	0.186894	0.1868937	0.4521568
49	1	-99.13644	-104.1662	5.029761	0.145628	0.01035354	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.041951	0.01234996	0.145628	0.145628	0.2880695
50	0	-100.0955	-104.4294	4.333929	0.2015655	0.004611348	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.0899009	0.01333535	0.201566	0.2015655	0.4460133
51	1	-99.88954	-104.6377	4.748119	0.1705443	0.006292972	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.0840687	0.01146135	0.170544	0.1705443	0.4929432
52	0	-96.08133	-100.5164	4.435103	0.2015655	0.007352799	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0868918	0.0004764874	0.201566	0.2015655	0.4310844
53	1	-96.12173	-100.6711	4.549355	0.192143	0.008358475	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.094527	0.0005679981	0.192143	0.192143	0.4919619
