Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
53	1	-84.47741	-89.1025	4.62509	0.1909626	0.001926516	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.0296154	0.02162924	0.190963	0.1909626	0.1550848
54	0	-85.41794	-90.31716	4.899214	0.174616	0.007501267	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.0113333	0.007295554	0.174616	0.174616	0.064904
55	1	-84.65301	-89.42692	4.773911	0.1909626	0.001220835	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.0140621	0.007452797	0.190963	0.1909626	0.07363788
56	0	-84.66354	-89.74842	5.084886	0.1551333	0.003638655	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.0295742	0.01482316	0.155133	0.1551333	0.1906374
57	1	-83.94183	-88.63576	4.693939	0.1909626	0.002268453	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0370394	0.0144024	0.190963	0.1909626	0.1939617
58	0	-86.57232	-91.78867	5.216348	0.1551333	0.001460635	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.0350384	0.003855052	0.155133	0.1551333	0.2258599
59	1	-87.08949	-91.71572	4.626231	0.1909626	0.001825747	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.0918397	0.02161584	0.190963	0.1909626	0.4809302
60	0	-83.66942	-88.91833	5.248909	0.150462	0.00101003	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.000688372	0.006380084	0.150462	0.150462	0.004575056
61	1	-83.37165	-88.3457	4.974051	0.1663569	0.001561688	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.0196111	0.01517601	0.166357	0.1663569	0.1178854
62	0	-84.88284	-90.16015	5.277308	0.150462	0.0007395276	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.00157928	0.003810642	0.150462	0.150462	0.01049623
63	1	-85.58927	-90.08649	4.497221	0.2151308	0.001818147	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.0923964	0.006945431	0.215131	0.2151308	0.4294893
64	0	-86.1081	-91.36454	5.256439	0.150462	0.003055678	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.0149302	0.003581394	0.150462	0.150462	0.09922907
65	1	-84.85444	-89.68216	4.827719	0.1801276	0.00555257	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.00795096	0.01010436	0.180128	0.1801276	0.04414073
66	0	-84.6422	-90.11435	5.472154	0.1262693	0.001862791	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.0043132	0.01080969	0.126269	0.1262693	0.03415873
67	1	-84.76686	-89.73088	4.964022	0.1632303	0.006777887	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.024768	0.0145307	0.16323	0.1632303	0.1517364
68	0	-84.77761	-90.28609	5.50848	0.1262693	0.000831166	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.00536144	0.008208765	0.126269	0.1262693	0.04246039
69	1	-84.06529	-89.36646	5.301174	0.1411296	0.003806696	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.00141261	0.009006331	0.14113	0.1411296	0.0100093
70	0	-83.72838	-88.51018	4.781801	0.1819071	0.001492875	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.0355412	0.01672515	0.181907	0.1819071	0.1953809
71	1	-84.51583	-89.14109	4.625257	0.1942571	0.002551624	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.0227262	0.01722793	0.194257	0.1942571	0.1169902
72	0	-84.24685	-89.16777	4.920915	0.1702126	0.003338229	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.0365388	0.01431338	0.170213	0.1702126	0.2146654
