Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
59	3	-33.83121	-47.66464	13.83343	0.01378442	0.0003564435	0.03376647	0.004046103	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.000356313	0.01309496	0.0337665	0.0137844	0.000356443	0.04790733	0.007437555
60	0	-31.70533	-46.2865	14.58117	0.02022491	0.005689345	0.01260906	0.003089657	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.003367598	0.0126091	0.0202249	0.00568934	0.03852332	0.307571
61	1	-31.90002	-46.03888	14.13886	0.008878159	0.006420315	0.02743387	0.003330572	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.011513	0.01861098	0.0274339	0.00887816	0.00642032	0.04273234	0.2694214
62	2	-37.09072	-48.77173	11.68101	0.004838848	0.003283869	0.0671293	0.03785106	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.04248	0.007775274	0.0671293	0.00483885	0.00328387	0.07525201	0.5645035
63	3	-31.29445	-45.7077	14.41325	0.009447652	0.00649318	0.02341899	0.005314959	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.0110275	0.01222091	0.023419	0.00944765	0.00649318	0.03935983	0.2801709
64	0	-30.87487	-46.31919	15.44432	0.01491117	0.006161887	0.004912983	0.002538064	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.00090378	0.003229871	0.00491298	0.0149112	0.00616189	0.02598604	0.03477946
65	1	-32.92161	-47.46836	14.54675	0.002878594	0.006659374	0.02323696	0.002527287	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.00911078	0.0466318	0.023237	0.00287859	0.00665937	0.03277493	0.2779802
66	2	-33.22972	-47.08207	13.85235	0.004852116	0.01321174	0.02838886	0.01637835	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.0232284	0.008805417	0.0283889	0.00485212	0.0132117	0.04645272	0.5000448
67	3	-32.01324	-47.07122	15.05798	0.01432108	0.00289528	0.01050392	0.01631536	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.00196207	0.01624221	0.0105039	0.0143211	0.00289528	0.02772028	0.07078116
68	0	-29.69395	-44.62367	14.92972	0.005091758	0.008230104	0.01962304	0.0023441	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.00694244	0.007356508	0.019623	0.00509176	0.0082301	0.0329449	0.2107287
