Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
38	0	-36.55025	-42.50599	5.955746	0.04028781	0.008388955	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.0156344	0.003786178	0.0402878	0.04028781	0.3880678
39	1	-34.71117	-41.9024	7.191226	0.02313824	0.005058603	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.00612211	0.000695098	0.0231382	0.02313824	0.2645885
40	0	-33.15836	-39.59076	6.432405	0.03424762	0.004840378	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.000598512	0.0009215974	0.0342476	0.03424762	0.017476
41	1	-34.82063	-42.17297	7.352342	0.02043251	0.00767375	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.000177155	0.0004476761	0.0204325	0.02043251	0.008670267
42	0	-35.16803	-42.66634	7.498302	0.01876981	0.004250219	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.00412806	0.0006309429	0.0187698	0.01876981	0.2199311
43	1	-34.01602	-40.88452	6.868501	0.02766386	0.006786272	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.00430969	0.0003312314	0.0276639	0.02766386	0.1557878
44	0	-33.28183	-39.94094	6.659113	0.03078471	0.005971519	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000936293	0.000770294	0.0307847	0.03078471	0.03041423
45	1	-32.60347	-39.49067	6.887201	0.02766386	0.004731174	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.00143351	0.0005163278	0.0276639	0.02766386	0.05181905
46	0	-32.36636	-39.38035	7.013989	0.02602214	0.003587376	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.00341469	0.000193843	0.0260221	0.02602214	0.1312223
47	1	-34.65151	-41.8357	7.184185	0.02338411	0.004385067	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.00758866	0.0003935287	0.0233841	0.02338411	0.3245221
