Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
46	0	-56.22479	-61.78559	5.560794	0.04035165	0.04022646	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.0167726	0.03146633	0.0403516	0.04035165	0.4156615
47	1	-54.74096	-60.40815	5.667184	0.04171595	0.03072728	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.00775609	0.02213666	0.041716	0.04171595	0.1859262
48	0	-54.60327	-60.3567	5.753426	0.03918872	0.01219569	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.00377814	0.04721496	0.0391887	0.03918872	0.09640883
49	1	-55.07382	-60.98376	5.909936	0.0399928	0.02881893	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.00562624	0.01011377	0.0399928	0.0399928	0.1406813
50	0	-55.15646	-61.33046	6.174004	0.03427113	0.01655979	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.00570842	0.03031298	0.0342711	0.03427113	0.1665664
51	1	-54.81345	-61.15169	6.338238	0.03239765	0.03533875	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.0031353	0.006356954	0.0323976	0.03239765	0.09677544
52	0	-58.20055	-61.9106	3.710052	0.05892595	0.1011603	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0172288	0.0441065	0.0589259	0.05892595	0.2923805
53	1	-55.02396	-60.22178	5.197819	0.03973807	0.09673438	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.00833927	0.01493918	0.0397381	0.03973807	0.209856
54	0	-58.32581	-62.05693	3.731116	0.05892595	0.06049658	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.0160997	0.08266388	0.0589259	0.05892595	0.2732186
55	1	-54.49055	-59.90823	5.417675	0.03973807	0.08220847	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.00690389	0.007479537	0.0397381	0.03973807	0.1737348
