Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_0	delta_1	gamma_0	gamma_1	q_01	q_10
216	16	-1089.221	-1102.318	13.09707	0.02254913	0.01671819	0.01305098	0.000233286	0.01004832	0.009243897
217	17	-1080.909	-1093.921	13.01171	0.0187058	0.04245886	0.007209514	0.0001190717	0.007643005	0.004244212
218	18	-1079.153	-1092.175	13.02222	0.02016941	0.03669947	0.007192067	0.001455803	0.009120514	0.0046915
219	19	-1089.721	-1102.731	13.01065	0.01621309	0.04165988	0.00339955	0.006224518	0.007331359	0.005658095
220	0	-1082.652	-1095.716	13.06383	0.02381817	0.03472145	0.007750925	0.0004655519	0.005725796	0.002685994
221	1	-1078.959	-1091.954	12.99506	0.02234397	0.0406144	0.007768927	0.001786725	0.006582734	0.002947885
222	2	-1078.756	-1091.898	13.14157	0.02390106	0.01659491	0.01378251	0.001006323	0.008816077	0.003292881
223	3	-1077.202	-1090.207	13.00477	0.02020612	0.03923628	0.008545057	0.00173118	0.005513021	0.005842014
224	4	-1084.787	-1097.842	13.05489	0.01869934	0.03857788	0.003482154	0.004759576	0.007609897	0.002932838
225	5	-1076.768	-1089.842	13.07372	0.01313875	0.03274542	0.009921551	0.00172487	0.008732201	0.007916477
226	6	-1081.202	-1094.326	13.12394	0.02380528	0.01663466	0.01429553	0.00117629	0.009743906	0.003501485
227	7	-1078.59	-1091.689	13.09886	0.02813873	0.02060411	0.01124581	0.001857961	0.007894591	0.001923362
228	8	-1081.673	-1094.652	12.97892	0.02349746	0.03984442	0.007041667	0.00209926	0.008399559	0.002776232
229	9	-1083.419	-1096.432	13.01248	0.02495735	0.03540825	0.005624678	0.00253371	0.008746714	0.003032159
230	10	-1076.027	-1089.043	13.01548	0.01988412	0.03570931	0.006481505	0.0004579251	0.009285525	0.008184181
231	11	-1074.766	-1087.763	12.99685	0.02129588	0.03756707	0.007787063	0.003173873	0.009413386	0.002628788
232	12	-1077.969	-1091.034	13.06465	0.01161819	0.03311988	0.0108675	0.0007362539	0.009429802	0.009314417
233	13	-1076.632	-1089.581	12.94923	0.02413197	0.03926583	0.006895042	0.001798632	0.009008804	0.005527499
234	14	-1081.059	-1094.166	13.10643	0.02941232	0.01865784	0.0123357	0.001898197	0.00743453	0.001168993
235	15	-1077.738	-1090.755	13.01748	0.01590765	0.03803776	0.008977832	0.001300342	0.01011642	0.005463274
236	16	-1087.918	-1101.015	13.0962	0.02265522	0.01671819	0.01305098	0.0002141891	0.01004832	0.009243897
237	17	-1078.496	-1091.609	13.11231	0.0163891	0.03434875	0.007384248	0.0003044291	0.006845255	0.00504834
238	18	-1078.052	-1091.049	12.9968	0.02016941	0.03669947	0.007801293	0.001433542	0.008963381	0.006803966
239	19	-1087.811	-1100.68	12.86881	0.01748185	0.05212765	0.005095798	0.006618226	0.008106379	0.005239849
240	0	-1079.037	-1092.018	12.98169	0.02146306	0.03986033	0.008993691	0.0001149444	0.008992282	0.00395817
