Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
39	1	-129.2332	-134.5676	5.334389	0.07337209	0.06042161	0.05156297	0.02042114	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.122017	0.0643076	0.051563	0.0733721	0.0604216	0.1853567	0.6582843
40	0	-128.7687	-136.0741	7.305454	0.007674972	0.08858938	0.04551736	0.03805292	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.0765651	0.09753007	0.0455174	0.00767497	0.0885894	0.1417817	0.5400211
41	1	-129.212	-136.1605	6.948498	0.07337209	0.04337515	0.04676741	0.02269157	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.121793	0.024917	0.0467674	0.0733721	0.0433751	0.1635146	0.7448455
42	0	-128.2711	-135.9722	7.701047	0.007274847	0.096001	0.04118732	0.05131823	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.0780132	0.02944674	0.0411873	0.00727485	0.096001	0.1444632	0.5400211
43	1	-125.5443	-135.5452	10.00095	0.05021276	0.01512888	0.04019334	0.03602352	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.0270648	0.03626935	0.0401933	0.0502128	0.0151289	0.105535	0.2564531
44	0	-126.6584	-137.3454	10.68703	0.02775758	0.04762736	0.0160096	0.04909986	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.0211726	0.03505093	0.0160096	0.0277576	0.0476274	0.09139454	0.2316617
45	1	-125.835	-135.4619	9.626887	0.06917165	0.02921508	0.01815475	0.02811207	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.0426796	0.01895568	0.0181547	0.0691717	0.0292151	0.1165415	0.3662179
46	0	-127.9866	-136.7069	8.720283	0.00898606	0.04794432	0.05658283	0.0715442	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.0355898	0.08341613	0.0565828	0.00898606	0.0479443	0.1135132	0.3135303
47	1	-125.9674	-136.1043	10.13695	0.06917165	0.02625725	0.011103	0.032975	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.0419154	0.02004553	0.011103	0.0691717	0.0262572	0.1065319	0.3934539
48	0	-124.8424	-136.0234	11.181	0.01814227	0.0002828764	0.06444166	0.05705328	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.00735423	0.02622673	0.0644417	0.0181423	0.000282876	0.0828668	0.08874757
49	1	-126.3576	-138.2736	11.91604	0.02383533	0.03982845	0.01555742	0.01798001	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.0166086	0.01254122	0.0155574	0.0238353	0.0398285	0.0792212	0.209648
50	0	-127.5052	-139.5084	12.00311	0.03245408	0.003375825	0.02658771	0.09752085	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.00392477	0.01991293	0.0265877	0.0324541	0.00337582	0.06241761	0.06287915
