Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
47	3	-158.0615	-161.857	3.79551	0.09148742	0.03166501	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.0467517	0.03012273	0.0914874	0.09148742	0.511018
48	0	-153.6132	-157.4009	3.787643	0.1008209	0.02168558	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0566424	0.0004948167	0.100821	0.1008209	0.5618118
49	1	-154.216	-158.863	4.647004	0.07889928	0.02971431	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.0197964	0.00140357	0.0788993	0.07889928	0.2509069
50	2	-160.5839	-164.9746	4.390681	0.07294174	0.03519466	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.0078278	0.04733886	0.0729417	0.07294174	0.1073158
51	3	-157.0214	-159.8108	2.789425	0.1171721	0.03363476	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.0712943	0.01760224	0.117172	0.1171721	0.6084586
52	0	-154.5996	-159.1706	4.570979	0.08250065	0.02161335	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.0177711	0.001520878	0.0825006	0.08250065	0.215405
53	1	-154.329	-159.6157	5.286674	0.06695951	0.01361945	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.00873903	0.005205	0.0669595	0.06695951	0.1305122
54	2	-155.9175	-160.4542	4.536708	0.08079411	0.02208096	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.0165049	0.01186603	0.0807941	0.08079411	0.2042831
55	3	-154.5945	-158.6562	4.061711	0.09143074	0.03361216	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.0441921	0.001800749	0.0914307	0.09143074	0.4833399
56	0	-153.4575	-158.743	5.285528	0.06536793	0.02437362	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.00857991	0.001453585	0.0653679	0.06536793	0.1312557
57	1	-156.509	-162.2793	5.770241	0.05305418	0.02792344	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.0112336	0.002724479	0.0530542	0.05305418	0.211739
58	2	-157.3216	-162.0773	4.755663	0.07265903	0.03454956	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.031464	0.01270932	0.072659	0.07265903	0.4330364
