Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
35	1	-32.6149	-35.45809	2.843188	0.07036238	0.07978375	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.0114958	0.132269	0.0703624	0.07036238	0.1633794
36	0	-33.00717	-36.86387	3.856696	0.06209341	0.05489358	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.0309533	0.09773215	0.0620934	0.06209341	0.4984952
37	1	-33.21541	-35.81917	2.603758	0.07410429	0.06733316	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.01078	0.1496911	0.0741043	0.07410429	0.1454709
38	0	-35.12141	-36.50735	1.385941	0.1037967	0.0708752	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.0519292	0.1173899	0.103797	0.1037967	0.5002974
39	1	-36.68412	-41.78001	5.095898	0.02003157	0.1268171	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.0154114	0.1151426	0.0200316	0.02003157	0.7693556
40	0	-32.01425	-35.62751	3.613254	0.05072365	0.07573524	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.0144083	0.1588796	0.0507236	0.05072365	0.2840555
41	1	-31.52011	-35.28545	3.76534	0.05522902	0.05638635	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.00470578	0.1401776	0.055229	0.05522902	0.0852049
42	0	-32.03837	-35.54506	3.506692	0.05072365	0.08909673	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.0151826	0.1561743	0.0507236	0.05072365	0.2993191
43	1	-31.0598	-35.00159	3.941784	0.04542592	0.07352034	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.00113718	0.155101	0.0454259	0.04542592	0.02503372
44	0	-34.0505	-36.30574	2.255247	0.05072365	0.1950138	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.0245578	0.1754017	0.0507236	0.05072365	0.4841493
45	1	-32.91246	-34.90526	1.992798	0.04542592	0.2584942	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.00498119	0.1650258	0.0454259	0.04542592	0.1096552
46	0	-32.8613	-34.59739	1.736088	0.05072365	0.217091	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.0044785	0.2052404	0.0507236	0.05072365	0.08829213
47	1	-31.68198	-34.78253	3.100544	0.04542592	0.1608118	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.00419319	0.1519335	0.0454259	0.04542592	0.09230821
48	0	-35.30361	-35.28201	-0.02159705	0.07626948	0.2200185	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.0167225	0.2485637	0.0762695	0.07626948	0.2192555
49	1	-33.69175	-35.2309	1.539149	0.06830368	0.1377308	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.00377228	0.2151635	0.0683037	0.06830368	0.05522804
50	0	-33.66221	-35.39628	1.734071	0.08214332	0.1611706	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.0364291	0.1020643	0.0821433	0.08214332	0.4434826
51	1	-35.99844	-39.05272	3.054284	0.03390046	0.2595474	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.0192709	0.1162582	0.0339005	0.03390046	0.5684555
