Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
35	1	-91.98297	-102.0956	10.11261	0.002828256	0.00115809	0.1589384	0.00551316	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.0386691	0.003318186	0.158938	0.00282826	0.00115809	0.1629247	0.2373431
36	0	-90.3264	-100.9568	10.63036	0.001097536	0.006191816	0.1194314	0.004438356	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.000678082	0.0007326451	0.119431	0.00109754	0.00619182	0.1267207	0.005350997
37	1	-91.42787	-101.4716	10.04371	0.0005204597	0.004936591	0.1667175	0.001435388	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.0364843	0.001993837	0.166717	0.00052046	0.00493659	0.1721745	0.2119033
38	0	-91.20878	-101.8567	10.64787	0.004919438	0.0006586459	0.1194314	0.004741429	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.00775045	0.0009525935	0.119431	0.00491944	0.000658646	0.1250095	0.06199891
39	1	-91.79679	-101.7853	9.988506	0.0014096	0.006928207	0.1667175	0.001689524	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.0765297	0.003431238	0.166717	0.0014096	0.00692821	0.1750553	0.4371746
40	0	-92.20676	-102.8639	10.65716	0.001528189	0.003195927	0.1152121	0.01119016	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0192504	0.0003177086	0.115212	0.00152819	0.00319593	0.1199362	0.1605051
41	1	-95.61316	-105.3564	9.743218	0.006376586	0.02112717	0.1667175	0.001912205	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.0790527	0.002266069	0.166717	0.00637659	0.0211272	0.1942212	0.407024
42	0	-91.50667	-102.179	10.6723	0.003575729	0.002535556	0.1152121	0.006495484	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.0130982	0.001654695	0.115212	0.00357573	0.00253556	0.1213234	0.1079612
43	1	-90.68481	-100.7702	10.08535	0.0004698202	0.002025006	0.1667175	0.002558422	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0755787	0.0006429727	0.166717	0.00046982	0.00202501	0.1692123	0.4466503
44	0	-94.7796	-105.4135	10.63387	0.003833756	0.008939593	0.1135424	0.003308841	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.0434593	0.002049346	0.113542	0.00383376	0.00893959	0.1263158	0.3440525
