Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
339	1	-12.71876	-16.08135	3.362594	0.1120399	0.01221769
340	0	-12.80917	-16.1375	3.32833	0.05235766	0.07532632
341	1	-13.06327	-16.28465	3.221384	0.04150652	0.09687208
342	0	-11.13825	-15.29259	4.154347	0.02451342	0.02056886
343	1	-11.99597	-15.66075	3.664778	0.04703985	0.04699938
344	0	-11.75392	-15.99067	4.236743	0.007605824	0.02923689
345	1	-12.14109	-15.75312	3.612031	0.02789906	0.0714149
346	0	-11.46586	-15.44364	3.977771	0.01313078	0.04960911
347	1	-12.97598	-16.23426	3.258279	0.05097461	0.08371456
348	0	-12.82287	-16.14623	3.323365	0.03314816	0.09503239
349	1	-13.89012	-16.75015	2.860037	0.04914464	0.1253687
350	0	-12.69919	-16.07487	3.375679	0.02412772	0.09882144
351	1	-13.08405	-16.29637	3.212319	0.02132228	0.1179628
352	0	-13.53075	-16.54987	3.01912	0.02429864	0.1343064
353	1	-14.20192	-16.92044	2.718522	0.02931196	0.1593528
354	0	-12.38529	-15.89362	3.508333	0.02438288	0.08530087
355	1	-12.91495	-16.19916	3.284207	0.01572429	0.116372
356	0	-11.83163	-15.58656	3.754923	0.01576421	0.06926052
357	1	-11.43923	-15.40934	3.97011	0.01910962	0.0443964
358	0	-11.40499	-15.41206	4.007075	0.01729936	0.04251016
359	1	-12.09244	-15.71807	3.62562	0.04627222	0.05168278
360	0	-11.5812	-15.82476	4.243564	0.01141158	0.02474901
361	1	-13.2042	-16.36522	3.161022	0.03243852	0.1119763
362	0	-11.43621	-15.61299	4.176782	0.01264172	0.03019707
363	1	-11.88599	-15.61307	3.72708	0.02138134	0.06642764
364	0	-14.30255	-16.98741	2.684862	0.01811663	0.1739142
365	1	-12.48288	-15.94962	3.466739	0.0292721	0.08457106
366	0	-11.80856	-15.57586	3.767302	0.0115321	0.07225476
367	1	-15.48097	-17.59122	2.11025	0.04991699	0.1995751
368	0	-11.44858	-15.39144	3.94286	0.02459665	0.04163436
369	1	-11.85227	-15.5972	3.744933	0.01605245	0.06997126
370	0	-11.58303	-15.77837	4.195339	0.008911853	0.03207123
371	1	-13.75887	-16.68079	2.921918	0.01211387	0.1562113
372	0	-11.56757	-15.78426	4.216688	0.01050066	0.02834758
373	1	-12.97898	-16.2362	3.25722	0.0279273	0.1068677
374	0	-11.45743	-15.47672	4.019291	0.009108572	0.04947938
375	1	-11.8565	-15.60045	3.743944	0.01053159	0.07559107
376	0	-12.97197	-16.23218	3.260217	0.02968797	0.1048074
377	1	-15.73298	-17.76362	2.030639	0.04275024	0.2147029
378	0	-11.66226	-15.85023	4.18797	0.006121986	0.03559804
379	1	-11.56726	-15.47601	3.90875	0.005035745	0.06460627
380	0	-11.95217	-16.28047	4.328299	0.009861382	0.01782575
381	1	-11.85047	-15.59732	3.746855	0.007016667	0.0788149
382	0	-11.46308	-15.50671	4.043632	0.007430023	0.04872378
383	1	-11.45872	-15.45538	3.99666	0.01124556	0.04960544
384	0	-13.19218	-16.35894	3.166762	0.003678724	0.1401621
385	1	-12.83365	-16.15234	3.318694	0.01612184	0.1125258
386	0	-13.85342	-16.74548	2.892058	0.005675175	0.1656361
387	1	-13.53333	-16.5524	3.019075	0.01161587	0.1469936
388	0	-11.46014	-15.5611	4.100963	0.008910275	0.04151044
389	1	-12.15659	-15.7596	3.603014	0.03611784	0.06409774
390	0	-12.02633	-15.68709	3.660759	0.03024668	0.06419439
391	1	-11.40435	-15.349	3.944654	0.03111115	0.03494051
