Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
37	1	-47.33571	-61.45014	14.11443	0.002114237	0.002043166	0.03588093	0.005795293	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	4.20342e-05	0.03138108	0.0358809	0.00211424	0.00204317	0.04003833	0.001049848
38	0	-47.89574	-60.93423	13.0385	0.02842745	0.01020591	0.005679112	0.09823578	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.0127283	0.02087678	0.00567911	0.0284274	0.0102059	0.04431247	0.2872403
39	1	-49.12026	-61.79075	12.67049	0.007908778	0.01487038	0.03917836	0.001925166	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.022765	0.04806597	0.0391784	0.00790878	0.0148704	0.06195752	0.3674285
40	0	-46.54066	-61.11852	14.57786	0.02650129	0.001151695	0.003386895	0.03729389	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.00438049	0.007556366	0.00338689	0.0265013	0.00115169	0.03103988	0.1411245
41	1	-46.75658	-60.39822	13.64164	0.0028669	0.008462613	0.03260031	0.001486598	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.00607176	0.05960864	0.0326003	0.0028669	0.00846261	0.04392983	0.1382149
42	0	-45.9694	-60.34264	14.37324	0.01886806	0.0117449	0.007826611	0.01481845	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.0034127	0.006074102	0.00782661	0.0188681	0.0117449	0.03843957	0.08878094
43	1	-52.02634	-64.3847	12.35837	0.005961394	0.03596658	0.01977312	0.004578885	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.0456292	0.07816403	0.0197731	0.00596139	0.0359666	0.06170109	0.7395209
44	0	-47.19217	-60.75122	13.55905	0.03194217	0.01432141	0.003409867	0.02125563	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.0176967	0.01362007	0.00340987	0.0319422	0.0143214	0.04967344	0.3562614
45	1	-47.63157	-61.38235	13.75078	0.02049865	0.003197166	0.01742412	0.03443171	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.0155322	0.03261661	0.0174241	0.0204986	0.00319717	0.04111993	0.3777296
46	0	-47.98252	-61.26842	13.28589	0.01298137	0.03371683	0.006360895	0.03779678	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.0254699	0.004070666	0.00636089	0.0129814	0.0337168	0.05305909	0.4800293
