Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
55	1	-55.0276	-59.93141	4.903812	0.06275677	0.006687919	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.00702125	0.001429014	0.0627568	0.06275677	0.1118803
56	0	-58.25704	-62.67106	4.41402	0.0692843	0.004443169	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.0153801	0.01421078	0.0692843	0.0692843	0.2219849
57	1	-55.57977	-60.49013	4.910355	0.06275677	0.003165713	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.0195232	0.004296914	0.0627568	0.06275677	0.3110927
58	0	-60.2097	-63.7638	3.554101	0.08307564	0.004007015	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.0159168	0.01941821	0.0830756	0.08307564	0.1915937
59	1	-56.01434	-60.88379	4.869451	0.06275677	0.004978727	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.00524048	0.006574378	0.0627568	0.06275677	0.08350463
60	0	-60.25408	-66.63187	6.377787	0.03722672	0.004272528	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00631867	0.00679976	0.0372267	0.03722672	0.1697349
61	1	-54.23933	-59.59144	5.352105	0.05556203	0.004518348	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.00640598	0.001140945	0.055562	0.05556203	0.1152943
62	0	-58.38629	-62.52037	4.134085	0.07409198	0.004691805	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.0121634	0.01364207	0.074092	0.07409198	0.1641659
63	1	-53.24999	-58.6891	5.439106	0.05435387	0.003071827	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	8.29089e-05	0.001002489	0.0543539	0.05435387	0.001525354
64	0	-54.17411	-58.44528	4.271169	0.07409198	0.002325467	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.0101439	0.002299942	0.074092	0.07409198	0.1369098
65	1	-56.36753	-62.01745	5.649923	0.04950259	0.003283184	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.00204194	0.008279844	0.0495026	0.04950259	0.04124915
66	0	-55.40278	-61.30569	5.902903	0.04621508	0.002181056	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.0058505	0.003444962	0.0462151	0.04621508	0.1265928
67	1	-55.30245	-60.981	5.678547	0.04950259	0.004304587	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00109541	0.00439603	0.0495026	0.04950259	0.0221284
68	0	-53.77712	-59.69839	5.921277	0.04621508	0.0007052434	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.000378636	0.003083407	0.0462151	0.04621508	0.008192915
69	1	-54.52294	-58.29001	3.767068	0.08264087	0.001380682	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.0210042	0.00330837	0.0826409	0.08264087	0.2541626
70	0	-52.73345	-57.40313	4.669681	0.06774075	0.0003402174	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00909539	0.00183793	0.0677408	0.06774075	0.1342677
71	1	-54.87055	-57.13714	2.266589	0.1083961	0.0008253155	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.002232872	0.108396	0.1083961	0.5239212
72	0	-54.96964	-60.56914	5.599499	0.05099266	0.0002949798	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	1.42071e-05	0.007535124	0.0509927	0.05099266	0.0002786107
73	1	-52.80029	-57.72418	4.923893	0.06334273	0.0003495759	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00446696	0.00230846	0.0633427	0.06334273	0.07052053
74	0	-55.45182	-60.03683	4.585008	0.06819582	0.0004891949	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.0188751	0.007476332	0.0681958	0.06819582	0.2767775
75	1	-54.24635	-59.03895	4.792594	0.0650448	0.0005313681	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.00995264	0.005232639	0.0650448	0.0650448	0.1530121
76	0	-55.66502	-61.51134	5.846313	0.04714391	0.0006973213	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.00750002	0.005117583	0.0471439	0.04714391	0.1590877
77	1	-52.92566	-57.75063	4.824971	0.0650448	0.001356921	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.0132803	0.001169369	0.0650448	0.0650448	0.2041718
78	0	-53.61045	-59.17726	5.56681	0.05245241	0.001241333	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.00976829	0.001260728	0.0524524	0.05245241	0.1862315
79	1	-53.85126	-58.65201	4.800743	0.0650448	0.001372928	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.00430161	0.003576169	0.0650448	0.0650448	0.066133
