Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
51	1	-75.53826	-88.66825	13.12999	0.019261	0.03509861	0.001876788	0.005407436	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.0403111	0.03328897	0.00187679	0.019261	0.0350986	0.05623639	0.7168149
52	0	-75.19858	-87.9977	12.79912	0.009333403	0.03433668	0.01812653	0.01910975	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.0436157	0.01958263	0.0181265	0.0093334	0.0343367	0.06179661	0.7057936
53	1	-77.74892	-89.90309	12.15417	0.001067765	0.04287604	0.02242121	0.006941189	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.0254249	0.06905793	0.0224212	0.00106777	0.042876	0.06636501	0.3831069
54	0	-76.26254	-89.0017	12.73916	0.002867971	0.03433668	0.02227097	0.0366258	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.0242906	0.02187607	0.022271	0.00286797	0.0343367	0.05947562	0.4084121
55	1	-77.16804	-89.31284	12.1448	0.01644301	0.04287604	0.007236211	0.009066204	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.0327735	0.06673827	0.00723621	0.016443	0.042876	0.06655526	0.4924261
56	0	-76.60368	-89.70435	13.10067	0.009131523	0.02880284	0.01139083	0.05528104	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.0275999	0.02747844	0.0113908	0.00913152	0.0288028	0.0493252	0.5595488
57	1	-75.26575	-88.61926	13.35351	0.01644301	0.01396038	0.02220264	0.0175238	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.0215251	0.02042661	0.0222026	0.016443	0.0139604	0.05260603	0.4091757
58	0	-78.14374	-92.26217	14.11842	0.02200742	0.004905076	0.005708064	0.04675064	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.010723	0.03364884	0.00570806	0.0220074	0.00490508	0.03262056	0.3287195
59	1	-75.94291	-87.92632	11.98341	0.00817241	0.01691298	0.04979831	0.0213304	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.0510664	0.02104719	0.0497983	0.00817241	0.016913	0.07488369	0.681943
60	0	-77.26	-89.95538	12.69538	0.008629102	0.02182911	0.02298005	0.0573059	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.0297114	0.04150453	0.0229801	0.0086291	0.0218291	0.05343827	0.5559949
61	1	-77.65713	-88.16384	10.5067	0.006110454	0.01077018	0.08637357	0.00857625	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0687751	0.0126284	0.0863736	0.00611045	0.0107702	0.1032542	0.6660758
62	0	-81.92371	-90.23281	8.3091	0.01423713	0.02079549	0.07963606	0.07241131	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.103928	0.1006219	0.0796361	0.0142371	0.0207955	0.1146687	0.9063342
