Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
35	1	-49.85021	-63.09903	13.24882	0.005327854	0.002462025	0.05257468	0.002367506	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0221525	0.0004797255	0.0525747	0.00532785	0.00246202	0.06036456	0.3669783
36	0	-49.01262	-61.04139	12.02877	0.0001413456	0.001799505	0.07818525	0.007172569	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.0368863	0.001298959	0.0781852	0.000141346	0.00179951	0.0801261	0.4603533
37	1	-50.39204	-63.29685	12.90481	0.007454658	0.005740982	0.05257468	0.004392649	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.00927513	0.001019389	0.0525747	0.00745466	0.00574098	0.06577032	0.141023
38	0	-51.25311	-63.15161	11.89849	0.002537671	0.001651534	0.07686579	0.01304022	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.0341885	0.002988629	0.0768658	0.00253767	0.00165153	0.08105499	0.4217939
39	1	-50.12917	-61.85329	11.72412	0.005013363	0.0007546462	0.07938074	0.006767283	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.0196912	0.002589765	0.0793807	0.00501336	0.000754646	0.08514874	0.2312566
40	0	-50.49543	-61.11922	10.62379	0.002282933	0.0004493222	0.1006499	0.006456233	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.0479714	0.005552876	0.10065	0.00228293	0.000449322	0.1033821	0.4640202
41	1	-54.88312	-66.80707	11.92396	0.007186807	0.01430859	0.05881718	0.01445719	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00721596	0.00339748	0.0588172	0.00718681	0.0143086	0.08031258	0.08984838
42	0	-49.76878	-62.66052	12.89174	0.001596183	0.001620609	0.06153674	0.007789215	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.0179757	0.004918208	0.0615367	0.00159618	0.00162061	0.06475354	0.2776024
43	1	-57.37321	-69.33364	11.96043	0.006426861	0.01030826	0.05803415	0.02327052	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.0369415	0.02358246	0.0580342	0.00642686	0.0103083	0.07476927	0.4940727
44	0	-50.00166	-62.64657	12.64491	0.00593499	0.002331173	0.06153674	0.00555243	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.0217268	0.002100964	0.0615367	0.00593499	0.00233117	0.06980291	0.3112592
