Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
48	0	-31.19675	-46.6052	15.40844	0.002288778	0.002851364	0.01784815	0.00588637	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.00260717	0.02394299	0.0178481	0.00228878	0.00285136	0.02298829	0.1134127
49	1	-28.47468	-41.54343	13.06874	5.374913e-05	0.0008891365	0.05997653	0.003300591	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.0246228	0.001440477	0.0599765	5.37491e-05	0.000889136	0.06091942	0.4041862
50	0	-33.41085	-47.86256	14.45171	0.01152309	0.01168464	0.01191102	0.036223	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.00708706	0.006432089	0.011911	0.0115231	0.0116846	0.03511875	0.2018026
51	1	-31.67081	-45.84612	14.1753	0.001717587	0.02228539	0.0205193	0.002704613	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0102306	0.0033679	0.0205193	0.00171759	0.0222854	0.04452228	0.2297859
52	0	-38.36084	-51.30653	12.94569	0.01156988	0.01660734	0.02093442	0.09108752	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.0257854	0.006602026	0.0209344	0.0115699	0.0166073	0.04911164	0.5250358
53	1	-29.26268	-43.86841	14.60572	0.009442891	0.002513624	0.02639656	0.003783757	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.0133243	0.001380697	0.0263966	0.00944289	0.00251362	0.03835307	0.347411
54	0	-36.16127	-49.57274	13.41147	0.01148342	0.00581974	0.02093442	0.09431091	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.00349894	0.03106765	0.0209344	0.0114834	0.00581974	0.03823758	0.09150539
55	1	-30.68576	-45.04664	14.36087	0.006552473	0.006334653	0.0278545	0.0109968	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.0137862	0.002339735	0.0278545	0.00655247	0.00633465	0.04074162	0.3383802
56	0	-34.27828	-48.9892	14.71092	0.009970952	0.002156067	0.01522969	0.05818454	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.00663682	0.01156212	0.0152297	0.00997095	0.00215607	0.02735671	0.242603
57	1	-30.63228	-45.78732	15.15504	0.004932085	0.0001599393	0.02324611	0.01677737	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.00965415	0.001854238	0.0232461	0.00493209	0.000159939	0.02833814	0.3406769
58	0	-38.92803	-50.83409	11.90606	0.01815224	0.009279521	0.04166295	0.06375926	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.0310377	0.001414747	0.0416629	0.0181522	0.00927952	0.06909471	0.4492058
59	1	-34.28467	-48.14464	13.85997	0.008312197	0.02494269	0.01385697	0.01487327	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.0105529	0.005046508	0.013857	0.0083122	0.0249427	0.04711186	0.2239963
60	0	-34.63696	-48.76738	14.13043	0.001545396	0.02444189	0.01151268	0.05722654	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.0052152	0.001294269	0.0115127	0.0015454	0.0244419	0.03749996	0.1390721
61	1	-33.61316	-48.14558	14.53241	0.002839779	0.02517274	0.007084157	0.02971584	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.00672742	0.005019862	0.00708416	0.00283978	0.0251727	0.03509667	0.1916826
62	0	-31.7372	-46.67833	14.94113	0.008259823	0.003985753	0.01675284	0.03507467	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.00374421	0.0004386931	0.0167528	0.00825982	0.00398575	0.02899842	0.1291176
