Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
33	1	-24.31465	-34.76585	10.4512	0.03193015	0.003538402	0.02641567	0.1299691	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.0106068	0.1494526	0.0264157	0.0319301	0.0035384	0.06188422	0.171398
34	0	-28.14545	-35.8325	7.687048	0.02484512	0.06968984	0.01414257	0.1413907	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.0564794	0.1772035	0.0141426	0.0248451	0.0696898	0.1086775	0.5196968
35	1	-24.25967	-36.10313	11.84346	0.003931479	0.01635112	0.02266492	0.1828201	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.011397	0.05338543	0.0226649	0.00393148	0.0163511	0.04294751	0.2653701
36	0	-23.93539	-35.24673	11.31134	0.01655338	0.03442823	0.01802991	0.07573439	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.00781137	0.08153793	0.0180299	0.0165534	0.0344282	0.06901152	0.1131894
37	1	-24.0931	-35.85257	11.75947	0.002281075	0.02724863	0.006274967	0.1001129	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.00553496	0.1807056	0.00627497	0.00228108	0.0272486	0.03580467	0.1545877
38	0	-23.5042	-34.76233	11.25813	0.008423583	0.01439667	0.01802991	0.1207181	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.000563039	0.1846536	0.0180299	0.00842358	0.0143967	0.04085016	0.01378303
39	1	-25.28413	-34.83623	9.552101	0.01289629	0.02825375	0.01232991	0.2150655	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.0122169	0.1968758	0.0123299	0.0128963	0.0282538	0.05347996	0.2284391
40	0	-24.0433	-36.76772	12.72442	0.01568347	0.01372639	0.002388717	0.04423603	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.00136556	0.1603982	0.00238872	0.0156835	0.0137264	0.03179858	0.04294407
41	1	-26.17838	-35.17365	8.995269	0.03565254	0.02132768	0.01183157	0.1541493	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.00501318	0.2357427	0.0118316	0.0356525	0.0213277	0.06881179	0.07285349
42	0	-25.6087	-36.09668	10.48799	0.01568347	0.02125514	0.03056165	0.05188592	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.0104699	0.1953837	0.0305616	0.0156835	0.0212551	0.06750026	0.1551091
